MLA,Dipole,Distance
-102,-84,11.1803
-112,-89,15.8114
-108,-88,20.6155
-110,-90,25.4951
-113,-97,30.4138
-112,-94,35.3553
-117,-101,40.3113
-123,-102,45.2769
-123,-99,50.2494
-125,-99,52.915
-123,-106,60.208
